policyholder_key,first_name,last_name,date_of_birth,gender,email,phone,address,city,state,zip
PH001,Alex,Johnson,1980-03-12,M,alex.johnson@example.com,212-555-1212,123 Main St,New York,NY,10001
PH002,Samantha,Williams,1992-07-25,F,samantha.williams@example.com,(305)555-8734,45 Ocean Dr,Miami,FL,33101
PH003,Michael,Brown,1975-11-05,M,michael.brown@example.com,(312)555-9988,789 Lake Ave,Chicago,IL,60601
PH004,Emily,Davis,1988-02-17,F,emily.davis@example.com,800-444-9090,12 Elm St,Denver,CO,80201
PH005,Chris,Miller,1995-09-09,M,chris.miller@example.com,2067771212,901 Pine Rd,Seattle,WA,98101
PH006,Jordan,Lee,1984-04-14,F,jordan.lee@example.com,415-555-2200,50 Market St,San Francisco,CA,94105
PH007,Taylor,Garcia,1979-12-01,M,taylor.garcia@example.com,6025557788,77 Desert Rd,Phoenix,AZ,85001
PH008,Morgan,Nguyen,1990-10-10,F,morgan.nguyen@example.com,(617)555-3344,12 Harbor Way,Boston,MA,02108
PH009,Pat,Kim,1986-06-22,O,pat.kim@example.com,214 555 8899,88 Elm St,Dallas,TX,75201
PH010,Avery,Martinez,1993-01-30,F,avery.martinez@example.com,708.555.1200,5 Oak Ln,Oak Park,IL,60302
PH011,Riley,Patel,1982-07-07,M,riley.patel@example.com,804-555-7711,900 River Rd,Richmond,VA,23219
PH012,Casey,Lopez,1977-09-18,F,casey.lopez@example.com,(206)555-9001,300 Pine St,Seattle,WA,98101
PH013,Drew,Wilson,1998-02-12,M,drew.wilson@example.com,9175554400,40 Broadway,New York,NY,10004
PH014,Alexis,Ramirez,1985-03-03,F,alexis.ramirez@example.com,513-555-6677,120 Vine St,Cincinnati,OH,45202
PH015,Jamie,Clark,1991-11-11,O,jamie.clark@example.com,(801)555-7777,700 Canyon Rd,Salt Lake City,UT,84101
